"MunicipalityName","FIPS_ID","Year","Population"
"Steamboat Springs",73825,1982,5606
"Sterling",73935,1982,11499
"Stratton",74485,1982,664
"Sugar City",74815,1982,295
"Superior",75640,1982,218
"Swink",75970,1982,679
"Telluride",76795,1982,963
"Thornton",77290,1982,46889
"Timnath",77510,1982,181
"Trinidad",78610,1982,9768
"Two Buttes",79270,1982,79
"Vail",80040,1982,3920
"Victor",80865,1982,280
"Vilas",81030,1982,114
"Vona",81690,1982,102
"Walden",82130,1982,1069
"Walsenburg",82350,1982,3852
"Walsh",82460,1982,839
"Ward",82735,1982,124
"Wellington",83230,1982,1325
"Westcliffe",83450,1982,312
"Westminster",83835,1982,56570
"Wheat Ridge",84440,1982,31074
"Wiggins",84770,1982,538
"Wiley",85045,1982,403
"Williamsburg",85155,1982,81
"Windsor",85485,1982,4587
"Winter Park",85705,1982,561
"Woodland Park",86090,1982,2948
"Wray",86310,1982,2281
"Yampa",86475,1982,429
"Yuma",86750,1982,2926
"Aguilar",760,1983,622
"Akron",925,1983,1868
"Alamosa",1090,1983,7160
"Alma",1530,1983,143
"Antonito",2355,1983,1058
"Arriba",3235,1983,248
"Arvada",3455,1983,88738
"Aspen",3620,1983,3329
"Ault",3950,1983,974
"Aurora",4000,1983,196407
"Avon",4110,1983,1046
"Basalt",4935,1983,630
"Bayfield",5265,1983,906
"Bennett",6090,1983,1539
"Berthoud",6255,1983,2552
"Bethune",6530,1983,155
"Black Hawk",7025,1983,308
"Blanca",7190,1983,281
"Blue River",7410,1983,297
"Bonanza City",7571,1983,10
"Boone",7795,1983,409
"Boulder",7850,1983,78209
"Bow Mar",8070,1983,980
"Branson",8345,1983,74
"Breckenridge",8400,1983,978
"Brighton",8675,1983,14069
"Brookside",9115,1983,191
"Broomfield",9280,1983,22498
"Brush",9555,1983,4358
"Buena Vista",10105,1983,2032
"Burlington",10600,1983,3244
"Calhan",11260,1983,707
"Campo",11645,1983,172
"Canon City",11810,1983,13717
"Carbondale",12045,1983,2488
"Castle Rock",12415,1983,4678
"Cedaredge",12635,1983,1288
"Center",12855,1983,1866
"Central City",12910,1983,399
"Cheraw",13460,1983,263
"Cherry Hills Village",13845,1983,5360
"Cheyenne Wells",14175,1983,1024
"Coal Creek",15330,1983,176
"Cokedale",15550,1983,93
"Collbran",15605,1983,329
"Colorado Springs",16000,1983,240493
"Columbine Valley",16385,1983,1013
"Commerce City",16495,1983,16989
"Cortez",17375,1983,8110
"Craig",17760,1983,10746
"Crawford",17925,1983,241
"Creede",14765,1983,635
"Crested Butte",18310,1983,901
"Crestone",18420,1983,53
"Cripple Creek",18530,1983,714
"Crook",18640,1983,166
"Crowley",18750,1983,209
"Dacono",19080,1983,2635
"De Beque",19355,1983,324
"Deer Trail",19630,1983,490
"Del Norte",19795,1983,1808
"Delta",19850,1983,4243
"Denver",20000,1983,503273
"Dillon",20440,1983,415
"Dinosaur",20495,1983,428
"Dolores",20770,1983,994
"Dove Creek",21265,1983,845
"Durango",22035,1983,12591
"Eads",22145,1983,888
"Eagle",22200,1983,1156
"Eaton",22860,1983,2022
"Eckley",23025,1983,247
"Edgewater",23135,1983,4991
"Elizabeth",23740,1983,906
"Empire",24620,1983,438
"Englewood",24785,1983,30549
"Erie",24950,1983,1281
"Estes Park",25115,1983,2998
"Evans",25280,1983,5612
"Fairplay",25610,1983,513
"Federal Heights",26270,1983,8208
"Firestone",26600,1983,1363
"Flagler",26765,1983,585
"Fleming",26875,1983,366
"Florence",27040,1983,3282
"Fort Collins",27425,1983,70706
"Fort Lupton",27700,1983,4567
"Fort Morgan",27810,1983,9276
"Fountain",27865,1983,9145
"Fowler",27975,1983,1244
"Fraser",28305,1983,563
"Frederick",28360,1983,947
"Frisco",28690,1983,1321
"Fruita",28745,1983,3668
"Garden City",29185,1983,109
"Genoa",29680,1983,138
"Georgetown",29735,1983,932
"Gilcrest",29955,1983,1165
"Glendale",30340,1983,2752
"Glenwood Springs",30780,1983,5415
"Golden",30835,1983,13485
"Granada",31550,1983,582
"Granby",31605,1983,1048
"Grand Junction",31660,1983,31603
"Grand Lake",31715,1983,385
"Greeley",32155,1983,54346
"Green Mountain Falls",32650,1983,658
"Greenwood Village",33035,1983,6681
"Grover",33310,1983,138
"Gunnison",33640,1983,5501
"Gypsum",33695,1983,1196
"Hartman",34520,1983,119
"Haswell",34740,1983,99
"Haxtun",34960,1983,1003
"Hayden",35070,1983,1624
"Hillrose",36610,1983,211
"Holly",37215,1983,998
"Holyoke",37270,1983,2182
"Hooper",37380,1983,82
"Hot Sulphur Springs",37600,1983,396
"Hotchkiss",37545,1983,971
"Hudson",37820,1983,752
"Hugo",37875,1983,729
"Idaho Springs",38370,1983,2119
"Ignacio",38535,1983,746
"Iliff",38590,1983,201
"Jamestown",39195,1983,239
